job_id,title_raw,our_family_code,our_sector,soc_code,soc_title,match_tier,matched_onet_title,job_zone
76ac8870-7eb5-413a-b6b9-b635d9e178e6,2nd Shift Operations Leader- Machining,cnc_machining,manufacturing,,,unmapped,,
c837decc-1aca-4c36-9049-b6507e7d3f6b,2nd Shift Production Worker - Winder C,manufacturing_production,manufacturing,51-9199.00,"Production Workers, All Other",segment,Production Worker,
d3647393-480f-4555-8191-fd9df727d997,3rd Shift Production Worker - Winder C-1,manufacturing_production,manufacturing,51-9199.00,"Production Workers, All Other",segment,Production Worker,
3ab62fc5-d5dd-44be-8fb2-6e39176e0425,Aircraft Maintenance Technician,industrial_maintenance,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,Aircraft Maintenance Technician,3
73d4b5fa-a2f6-4395-a4fe-b1e6f65cc217,Aircraft Maintenance Technician,manufacturing_production,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,Aircraft Maintenance Technician,3
ada298f6-db8e-4b2c-b76e-2c1f7a31b6eb,Aircraft Maintenance Technician,industrial_maintenance,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,Aircraft Maintenance Technician,3
c5440332-9d24-4e36-9913-a2702b097da3,Aircraft Maintenance Technician,manufacturing_production,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,Aircraft Maintenance Technician,3
dfdbfa94-bd0f-4354-8b70-43182e0a7f8d,Aircraft Maintenance Technician,manufacturing_production,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,Aircraft Maintenance Technician,3
51b5fe5a-552b-48f1-8dd9-c51a3c65fbde,Aircraft Maintenance Technician 2,industrial_maintenance,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,Aircraft Maintenance Technician,3
07217a0b-d6bf-4e3f-a895-d81309df4cf2,Aircraft Mtc Surface Coat Technician,industrial_maintenance,manufacturing,,,unmapped,,
219d497c-2d8d-4ea1-bfd1-da18bc79a201,Aircraft Support Mechanic,diesel_service_and_technology,transportation,49-3011.00,Aircraft Mechanics and Service Technicians,fuzzy,Aircraft Mechanic,3
70cba4e7-70d5-47a4-9e1b-9bb152d5fbbb,Aircraft Support Mechanic,diesel_service_and_technology,transportation,49-3011.00,Aircraft Mechanics and Service Technicians,fuzzy,Aircraft Mechanic,3
a91f1bc2-c859-41ef-a4eb-976c854e43ae,Aircraft Support Mechanic,diesel_service_and_technology,transportation,49-3011.00,Aircraft Mechanics and Service Technicians,fuzzy,Aircraft Mechanic,3
c2caf92c-6f39-4f8f-987a-817169014ab5,Aircraft Support Mechanic,diesel_service_and_technology,transportation,49-3011.00,Aircraft Mechanics and Service Technicians,fuzzy,Aircraft Mechanic,3
d6e2aff8-a00d-4c8b-b6ba-a1532a1feb53,Aircraft Support Mechanic,diesel_service_and_technology,transportation,49-3011.00,Aircraft Mechanics and Service Technicians,fuzzy,Aircraft Mechanic,3
e61b931e-8df8-44ac-a3bc-c4054d9eb178,Aircraft Support Mechanic,automotive_ev_service,transportation,49-3011.00,Aircraft Mechanics and Service Technicians,fuzzy,Aircraft Mechanic,3
2da6c0f2-f5cf-4fab-b307-4eb3c579391d,AMRT Inspection Technical Leader,manufacturing_production,manufacturing,,,unmapped,,
7589aba9-4d64-4d0f-83dc-238301e9777a,AMT - Avionics - Component Maintenance,industrial_maintenance,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,segment,AMT,3
fc24d480-cb0d-4132-8d44-a897ef495483,AMT 1,industrial_maintenance,manufacturing,49-3011.00,Aircraft Mechanics and Service Technicians,exact,AMT,3
0336a541-1cd7-4970-b181-33a30857fa4c,Armoring Machine Operator,manufacturing_production,manufacturing,51-9199.00,"Production Workers, All Other",exact,Armoring Machine Operator,
67b5286c-436e-453c-aefb-acc7d5793715,Armoring Machine Operator,manufacturing_production,manufacturing,51-9199.00,"Production Workers, All Other",exact,Armoring Machine Operator,
dd3d814c-135d-4c3a-9dfc-fd6607803797,Armoring Machine Operator,manufacturing_production,manufacturing,51-9199.00,"Production Workers, All Other",exact,Armoring Machine Operator,
2efcbc6c-5c72-4187-81d6-7246c903d286,Assembler Apprentice Program-15,manufacturing_production,manufacturing,,,unmapped,,
64598e85-2028-40ef-99d2-2b4843155388,Assembler I (02B),manufacturing_production,manufacturing,51-2092.00,Team Assemblers,segment,Assembler,2
7b88420d-c465-4a87-8b88-35cad25d92b5,Assembler I (02B) 3rd Shift,manufacturing_production,manufacturing,51-2092.00,Team Assemblers,segment,Assembler,2
d0d3e7e7-458d-4c09-a0b6-a6f4ce4e8030,Assembler II (02A) - 3rd Shift,manufacturing_production,manufacturing,51-2092.00,Team Assemblers,segment,Assembler,2
0a05db0f-e385-423b-8122-dab16a04bf4c,Assembler Operator,manufacturing_production,manufacturing,,,unmapped,,
89220a49-5c9a-4918-aa10-d2767415d275,Assembler Spooler Operator,manufacturing_production,manufacturing,53-7063.00,Machine Feeders and Offbearers,fuzzy,Spooler Operator,2
f82b31d6-c86f-49bd-bce1-f941c80e699d,Assembler Spooler Operator,manufacturing_production,manufacturing,53-7063.00,Machine Feeders and Offbearers,fuzzy,Spooler Operator,2
2ade1c3c-d1ef-4489-a20b-657159ec1430,Assembly Technician - 1st Shift,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
0288344c-c60c-40a0-93c5-9ec3645ddd0d,Assembly Technician - 2nd Shift,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
